name,capacity_mw,primary_fuel,commissioning_year,State,Plant Name,Generation (kWh),Fuel Consumption for Electric Generation (MMBtu),Metric Tonnes of CO2 Emissions,emissions_per_KWh
central plant,4.1,Oil,1999.95122,SC,Central Plant,0,19,1.249421335,inf
central power plant,10,Oil,1997,RI,Central Power Plant,26775000,136124,34730.726,0.001297133
central utilities plant lax 2,9.2,Gas,2015,CA,Central Utilities Plant LAX 2,32397820,134283,23875.93197,0.000736961
central utility plant,14.3,Gas,1988,TX,Central Utility Plant,13926223,141249,10358.48478,0.000743811
central utility plant  texas am,50.1,Gas,2005.610778,TX,Central Utility Plant - Texas A&M,196616090,1080630,115597.1998,0.000587934
central utility plant cincinnati,47.2,Gas,2004,OH,Central Utility Plant Cincinnati,199244000,1078219,126975.6268,0.000637287
central utility plant at white oak,54.3,Gas,2010.320442,MD,Central Utility Plant at White Oak,105068450,1264312,73126.02295,0.000695985
century generating facility,44.8,Gas,2001,CA,Century Generating Facility,495000,7495,397.7632585,0.000803562
centurylink regional hq,2,Oil,1993,,,,,,
ceredo generating station,519,Gas,2001,WV,Ceredo Generating Station,363635000,4381409,232523.4851,0.000639442
chaffee gas recovery,6.4,Waste,2007.5,,,,,,
chalk cliff limited,46,Gas,1990,CA,Chalk Cliff Limited,9995000,76960,5002.529722,0.000500503
chalk point llc,2553,Gas,1976.606737,MD,Chalk Point LLC,495132000,6327719,545329.0055,0.001101381
chalmette refining llc,5.7,Other,1990,,,,,,
chambers cogeneration lp,285,Coal,1994,NJ,Chambers Cogeneration LP,564872000,5713122,711572.8518,0.001259706
chambersburg,87.6,Gas,2001,PA,Chambersburg,222211000,2252738,119553.8902,0.00053802
chamon power llc,100,Gas,2017,TX,Chamon Power LLC,61604000,646163,34292.1815,0.000556655
channel energy center llc,923.8,Gas,2004.479541,TX,Channel Energy Center LLC,3733413962,19599740,1919177.207,0.000514054
channelview cogeneration plant,918.3,Gas,2001.790809,TX,Channelview Cogeneration Plant,5536983000,33951633,3095689.598,0.000559093
chanute 2,64,Gas,1999.6875,KS,Chanute 2,174800000,2128560,112964.4272,0.00064625
chanute 3,34.8,Gas,1987.505747,KS,Chanute 3,1050000,9415,525.6552787,0.000500624
chappell,1.1,Oil,1982,NE,Chappell,7000,96,7.023423716,0.001003346
charles city,14.4,Waste,2003,VA,Charles City,3035128,34970,2558.42841,0.000842939
charles d lamb energy center,122,Gas,2015,OK,Charles D. Lamb Energy Center,110115000,1211700,64305.50237,0.000583985
charles p keller,33.8,Gas,1966.943787,NY,Charles P Keller,-966000,13940,836.3157469,-0.000865751
charles r lowman,538,Coal,1977.773234,AL,Charles R Lowman,955004000,11189226,1042134.843,0.001091236
charter durabar,6,Gas,1992,IL,Charter Dura-Bar,4978400,100584,5338.041306,0.00107224
chatham,7.3,Gas,2014.972603,MI,Chatham,46000,777,41.23576409,0.00089643
chattahoochee energy facility,539.7,Gas,2003,GA,Chattahoochee Energy Facility,3327345000,23067528,1224204.817,0.000367922
chautauqua lfgte facility,9.6,Waste,2010.333333,,,,,,
chehalis generating facility,698,Gas,2003,WA,Chehalis Generating Facility,2431536000,17947578,952486.6053,0.000391722
cherokee,1006.4,Gas,1997.216216,CO,Cherokee,3932404000,31887394,1692279.352,0.000430342
cherokee county cogen,101.2,Gas,1998,SC,Cherokee County Cogen,565676840,4325617,248160.1186,0.000438696
cherry street,17.3,Oil,1962.00578,MA,Cherry Street,252000,2397,158.952432,0.000630764
cherryville city hall,1.8,Oil,2006,NC,Cherryville City Hall,63000,969,70.89268313,0.001125281
chesapeake,67.4,Oil,1968.725519,VA,Chesapeake,140000,2317,169.5132578,0.001210809
chester generating station,55.8,Oil,1969,PA,Chester Generating Station,218000,5229,382.5571105,0.001754849
chesterfield,1799.5,Coal,1971.914365,VA,Chesterfield,3614833000,29033675,1921878.274,0.000531664
chesterfield landfill gas,14.4,Waste,2004,VA,Chesterfield Landfill Gas,2827460,32902,2407.132157,0.000851341
chestnut ridge gas recovery,4.8,Waste,1998.333333,,,,,,
cheswick power plant,637,Coal,1970,PA,Cheswick Power Plant,789829000,9696366,896560.627,0.001135133
chevak,1.8,Oil,2009,AK,Chevak,2395000,17039,1246.584549,0.000520495
chevron oil,170.5,Gas,1983.886217,MS,Chevron Oil,1080099000,12392234,788489.1057,0.000730016
cheyenne prairie generating station,140,Gas,2014,WY,Cheyenne Prairie Generating Station,313140000,2440313,129508.5858,0.00041358
chicago west side energy center,3.5,Gas,2003,IL,Chicago West Side Energy Center,18121000,110934,15329.62085,0.000845959
childrens hospital,10,Oil,2006.25,CA,Childrens Hospital,26571000,243796,23018.92243,0.000866318
chillicothe,90,Gas,1987.888889,MO,Chillicothe,5216000,80652,4526.807277,0.000867869
chino mines,54,Gas,1988.166667,NM,Chino Mines,4383000,55683,2955.123618,0.000674224
choctaw county,899,Gas,2003,MS,Choctaw County,4550073000,31983802,1697395.771,0.000373048
cholla,839.9,Coal,1978.05834,AZ,Cholla,2782781000,30923103,3004567.588,0.0010797
chouteau,1069.6,Gas,2005.5,OK,Chouteau,6763842000,48452245,2571383.969,0.000380166
chowchilla ii,49.6,Gas,2001,CA,Chowchilla II,12526000,129985,6898.366531,0.000550724
christiana,52,Oil,1973,DE,Christiana,232000,7401,541.4620721,0.002333888
chuck lenzie generating station,1465.6,Gas,2006,NV,Chuck Lenzie Generating Station,6578979000,48323675,2564560.698,0.000389811
chula vista energy center,44,Gas,2001,CA,Chula Vista Energy Center,3885000,64179,3406.010429,0.000876708
church street plant,7.3,Oil,1985.068493,VA,Church Street Plant,118000,1242,90.86554432,0.000770047
cimarron river,65,Gas,1964.153846,KS,Cimarron River,703000,10467,555.4887293,0.000790169
cinnamon bay edgeboro landfill,9.6,Waste,2011,NJ,Cinnamon Bay Edgeboro Landfill,531182,4406,233.8285413,0.000440204
city light  water,1.3,Oil,1987,NE,City Light & Water,7000,93,6.803941724,0.000971992
city west diesel plant,7.2,Oil,2011,SC,City West Diesel Plant,27000,222,16.24166734,0.000601543
city of palo alto,4.4,Gas,2002,CA,City of Palo Alto,8000,112,5.943893922,0.000742987
city of shelby electric distribution,1.8,Oil,2016,OH,City of Shelby Electric Distribution,21000,224,16.38798867,0.00078038
city of west plains power station,47.4,Gas,2000,MO,City of West Plains Power Station,1629000,25659,1495.114203,0.000917811
citycenter central plant cogen units,8.6,Gas,2010,NV,CityCenter Central Plant Cogen Units,63129600,287740,37280.73953,0.000590543
civic center,34.5,Gas,1989,CA,Civic Center,83920000,418243,71292.28432,0.000849527
clairton works,31,Gas,1955,PA,Clairton Works,46486315,203348,135298.4692,0.002910501
clark nve,1375.6,Gas,1996.425705,NV,Clark (NVE),669989000,6691400,355115.8196,0.000530032
clark sd,2.7,Oil,1970,SD,Clark (SD),-122000,36,2.633783893,-2.16E-05
clark university,2,Gas,2013,MA,Clark University,8907220,53468,5052.522116,0.000567239
clarkfloyd landfill gas generating,3.6,Waste,2007.777778,,,,,,
claude vandyke,47.8,Gas,1984.640167,MI,Claude Vandyke,3141000,39957,2120.537227,0.000675115
clay boswell,1073.3,Coal,1974.687879,MN,Clay Boswell,4810980000,52033453,5052620.268,0.001050227
clay center,29.9,Gas,1980.033445,KS,Clay Center,-263000,11119,676.2574749,-0.002571321
clayville,73,Gas,2015,NJ,Clayville,78859000,828438,43965.60351,0.000557522
clearwater power plant,49,Gas,2005,CA,Clearwater Power Plant,8252760,63105,3988.830456,0.000483333
cleary flood,146.3,Gas,1974.065619,,,,,,
cleveland cnty generating facility,736,Gas,2013,NC,Cleveland Cnty Generating Facility,981695000,10375472,550932.4461,0.000561205
cleveland peaking,10.8,Oil,2000,OH,Cleveland Peaking,304000,3020,220.9452044,0.000726793
cleveland thermal,1,Gas,2017,OH,Cleveland Thermal,4364000,49635,66592.89319,0.0152596
clewiston sugar house,49,Waste,2005.959184,FL,Clewiston Sugar House,926073,6413,3623.854025,0.003913141
clifton,87.5,Gas,1974.971429,KS,Clifton,5103000,145717,7735.561626,0.001515885
clifty creek,1303.8,Coal,1955.166667,IN,Clifty Creek,5722979000,62599822,5850081.256,0.001022209
clinch river,475,Gas,1958.5,VA,Clinch River,338987000,4027085,213719.3398,0.000630465
clinton,3,Gas,1966.333333,MI,Clinton,-80000,30,2.054188635,-2.57E-05
clinton lfgte,3.2,Waste,2006,,,,,,
clinton lfgte facility,6.4,Waste,2008.25,,,,,,
clover,848,Coal,1995.5,VA,Clover,1281310000,13484455,1256359.816,0.000980528
cogen ii llc,7.5,Waste,1987,,,,,,
cogen llc,7.5,Waste,1986,,,,,,
coachella,92.4,Gas,1974,CA,Coachella,5023000,81505,4336.036846,0.000863236
coal creek,1215.6,Coal,1979.680158,ND,Coal Creek,8192593000,81512660,8448451.888,0.001031231
coalinga 25d cogen,13.6,Gas,1987,CA,Coalinga 25D Cogen,69003000,280615,58152.45768,0.000842753
coalinga 6c cogen,6.8,Gas,1989,,,,,,
coalinga cogeneration,38.4,Gas,1991,,,,,,
coalinga cogeneration facility,6.8,Gas,1988,CA,Coalinga Cogeneration Facility,49604000,237066,39062.36866,0.000787484
coastal plains,6.8,Waste,2003,,,,,,
coca cola american canyon,1.1,Gas,2011,CA,Coca Cola American Canyon,397000,4556,241.7891135,0.000609041
coffeen,1005.4,Coal,1969.679133,IL,Coffeen,2682390000,30612908,2855028.655,0.00106436
coffeyville,62.7,Gas,1970.098884,KS,Coffeyville,37046000,467493,24811.76616,0.000669756
coffin butte,5.6,Waste,2001.857143,,,,,,
cogeneration 1,9,Gas,2002,AZ,Cogeneration 1,55890430,252048,35226.75268,0.000630282
cogeneration 2,6,Gas,2002,AZ,Cogeneration 2,41397660,177581,28806.97575,0.00069586
coggon,2,Oil,2003,IA,Coggon,55860,482,35.2634399,0.000631282
coit gt,39.2,Gas,1969,SC,Coit GT,316000,6721,421.9396178,0.001335252
colbert,476,Gas,1972,AL,Colbert,1670000,42972,2280.544729,0.001365596
colby,16,Gas,1970,KS,Colby,79000,2453,130.181891,0.001647872
colby city of,17.2,Oil,1966.627907,KS,Colby City of,86000,907,62.84094008,0.000730709
colchester 16,18,Oil,1965,VT,Colchester 16,91000,2923,213.84862,0.002349985
cold canyon 1,1.5,Waste,2013,,,,,,
coldwater peaking plant,12.9,Gas,2015,MI,Coldwater Peaking Plant,5365000,49353,2619.187471,0.000488199
coleto creek,622.4,Coal,1980,TX,Coleto Creek,3225780000,34546548,3346013.672,0.001037273
colfax,13.5,Oil,1969.4,MI,Colfax,680000,10829,792.2568272,0.001165084
college of new jersey,6.2,Gas,1996,NJ,College of New Jersey,37093000,173371,23060.02639,0.000621681
collins pine project,12,Waste,1986,,,,,,
collinwood,16,Gas,1971,OH,Collinwood,2000,3767,275.57613,0.137788065
colonie lfgte facility,6.4,Waste,2008.5,,,,,,
colorado bend energy center,580.1,Gas,2004.095328,TX,Colorado Bend Energy Center,2110465000,17478795,927608.0658,0.000439528
colorado bend ii,1230.3,Gas,2017,TX,Colorado Bend II,6104477000,41730520,2214658.787,0.000362793
colorado energy nations company,35,Gas,1980.214286,CO,Colorado Energy Nations Company,161256460,939266,242233.2603,0.001502162
colstrip,2272,Coal,1982.006162,MT,Colstrip,13407682000,146439418,14231608.57,0.001061452
colstrip energy lp,46.1,Coal,1990,MT,Colstrip Energy LP,301048000,4193687,391154.1688,0.001299308
columbia mo,85.1,Gas,1974.238543,MO,Columbia (MO),22960853,306778,16282.72454,0.000709152
columbia wi,1112,Coal,1976.5,WI,Columbia (WI),5366563000,56813144,5299998.117,0.000987596
columbia energy center,162.8,Gas,2001,MO,Columbia Energy Center,6856000,84232,4470.232793,0.000652018
columbia energy center sc,668.5,Gas,2004,SC,Columbia Energy Center (SC),3251100000,18720318,1247631.681,0.000383757
columbia flooring melbourne,2,Waste,1980,,,,,,
colusa generating station,712.4,Gas,2011,CA,Colusa Generating Station,3028361000,21777338,1155733.812,0.000381637
colver power project,118,Coal,1995,PA,Colver Power Project,766678000,8847918,825517.2408,0.001076746
comanche co,1635.3,Coal,1992.870116,CO,Comanche (CO),8499858000,91290992,8779680.673,0.001032921
comanche ok,294,Gas,1973.547619,OK,Comanche (OK),276010000,2554321,135559.0452,0.000491138
combined locks energy center,66.5,Gas,2002,WI,Combined Locks Energy Center,362487000,2944775,172841.0585,0.00047682
combustion turbine project no 2,50,Gas,1996,CA,Combustion Turbine Project No 2,12758000,121294,6437.130977,0.000504556
commerce refuse to energy,12,Waste,1986,,,,,,
commonwealth chesapeake,402.5,Oil,2000.571429,VA,Commonwealth Chesapeake,13750000,155568,11381.45813,0.000827742
concord,381.6,Gas,1993.5,WI,Concord,82828000,1151954,63546.7204,0.000767213
concord energy,9.6,Waste,2012,,,,,,
conemaugh,1884,Coal,1970.496815,PA,Conemaugh,11005565000,105664683,9845117.198,0.000894558
conesville,1729.3,Coal,1975.053548,OH,Conesville,2310697000,24741066,2306620.535,0.000998236
connersville,83.6,Oil,1972,,,,,,
consumer operations llc,90.8,Gas,1975.852423,WI,Consumer Operations LLC,148123000,740679,309811.3169,0.002091581
coolidge generation station,726,Gas,2011,AZ,Coolidge Generation Station,330191800,3440505,182589.2568,0.000552979
coon rapids ii,5.4,Oil,2001,IA,Coon Rapids II,145000,1380,100.9617159,0.000696288
cooper,344,Coal,1967.67907,KY,Cooper,168610000,2020419,188137.5728,0.001115815
cope,417.3,Coal,1996,SC,Cope,1851609000,18629506,1352606.011,0.000730503
copper,80.5,Gas,1980,TX,Copper,39534000,688550,36541.68,0.00092431
coralville gt,72,Gas,1970,IA,Coralville GT,-716000,6809,361.3569082,-0.000504688
cordova energy,611.2,Gas,2001,IL,Cordova Energy,1675878000,11402516,605137.0138,0.000361087
coresite real estate 1656 mccarthy  lp,5,Oil,2000,,,,,,
coresite real estate 2901 coronado  lp,10,Oil,2010,,,,,,
coresite real estate 2972 stender  lp,12,Oil,2011,,,,,,
coresite real estate 3032 coronado  lp,30,Oil,2015,,,,,,
coresite real estate 55 s market street,6,Oil,2007,CA,CoreSite Real Estate 55 S. Market Street,0,229,16.75379199,inf
cornelius delivery no 1,2.2,Oil,2007,NC,Cornelius Delivery No 1,-48000,133,9.730368273,-0.000202716
cornell university central heat,39.5,Gas,2005.822785,NY,Cornell University Central Heat,242624000,1123028,149614.5641,0.000616652
corning,6.8,Oil,1993.235294,IA,Corning,14000,164,11.99834885,0.000857025
coronado,821.8,Coal,1980,AZ,Coronado,2074935000,23097540,2152334.028,0.001037302
corpus christi,41,Gas,1989,TX,Corpus Christi,76451000,1167931,148756.0819,0.00194577
corpus christi energy center,593.3,Gas,2002,TX,Corpus Christi Energy Center,1991874000,11141719,1047704.602,0.000525989
corpus refinery,47,Gas,1988,TX,Corpus Refinery,280241000,1256874,175736.3186,0.00062709
cos cob,115,Oil,1982.565217,CT,Cos Cob,736000,11092,801.9588753,0.001089618
cosmo specialty fibers plant,15,Waste,1957,WA,Cosmo Specialty Fibers Plant,6241612,28395,28048.47018,0.004493786
costa sur,42,Gas,,,,,,,
costa sur,990,Oil,1962,,,,,,
cosumnes,530,Gas,2006,CA,Cosumnes,2716720406,18387601,975838.8377,0.000359197
cottonwood energy project,1433.6,Gas,2003,TX,Cottonwood Energy Project,7246613000,52692575,2796420.324,0.000385893
coughlin power station,922.8,Gas,1986.242089,LA,Coughlin Power Station,3941548997,30708947,1629738.602,0.000413477
countyside genco llc,12.8,Waste,2012,,,,,,
covanta alexandriaarlington energy,29,Waste,1987,VA,Covanta Alexandria/Arlington Energy,139742000,3327634,138730.32,0.00099276
covanta babylon inc,17,Waste,1989,NY,Covanta Babylon Inc,115297000,2459642,102732.227,0.000891023
covanta bristol energy,16.3,Waste,1988,CT,Covanta Bristol Energy,101801000,2004676,83575.70063,0.000820971
covanta delano energy,57,Waste,1991.326316,,,,,,
covanta delaware valley,90,Waste,1991,PA,Covanta Delaware Valley,518722000,11284149,470741.3295,0.000907502
covanta essex company,69.8,Waste,1990,NJ,Covanta Essex Company,497162000,9854980,410857.8434,0.000826406
covanta fairfax energy,124,Waste,1990,VA,Covanta Fairfax Energy,723286000,11907517,497366.4712,0.000687648
covanta haverhill,46,Waste,1989,MA,Covanta Haverhill,338247000,5534397,231197.9972,0.000683518
covanta hempstead,78.6,Waste,1989,NY,Covanta Hempstead,542424000,10016168,417976.0571,0.000770571
covanta hennepin energy,39.5,Waste,1989,MN,Covanta Hennepin Energy,195319000,3683340,154933.8827,0.000793235
covanta indianapolis energy,6.5,Waste,1988,IN,Covanta Indianapolis Energy,44177000,309851,296246.7531,0.006705905
covanta lake county energy,15.5,Waste,1990,FL,Covanta Lake County Energy,77293000,1607487,67295.30316,0.000870652
covanta marion inc,13.1,Waste,1986,OR,Covanta Marion Inc,65995000,1684312,70219.87742,0.001064018
covanta mendota,28,Waste,1989,,,,,,
covanta niagara i  llc,50,Waste,1980,,,,,,
covanta plymouth renewable energy,32.1,Waste,1992,PA,Covanta Plymouth Renewable Energy,202986000,3748016,158249.9101,0.00077961
covanta southeastern connecticut company,18.3,Waste,1992,CT,Covanta Southeastern Connecticut Company,130788000,2551510,107260.281,0.000820108
covanta stanislaus energy,24,Waste,1988,CA,Covanta Stanislaus Energy,147230000,2919786,122787.5942,0.000833985
covanta tulsa renewable energy llc,16.8,Waste,1989,OK,Covanta Tulsa Renewable Energy LLC,12257000,173472,142387.6228,0.011616841
covanta warren energy,13.5,Waste,1988,NJ,Covanta Warren Energy,8054000,175086,7515.980064,0.000933198
cove point lng terminal,91.6,Gas,1999.456332,MD,Cove Point LNG Terminal,680636320,6050625,321109.5818,0.000471778
covel gardens gas recovery,9.6,Waste,2005,,,,,,
covington facility,160.9,Waste,1996.90926,VA,Covington Facility,310090304,3906742,807508.6358,0.002604108
cox waste to energy,5,Waste,1996.4,,,,,,
coyote,450,Coal,1981,ND,Coyote,2061731000,23884880,2331578.826,0.001130884
coyote springs,266.3,Gas,1995,OR,Coyote Springs,1769340000,12103974,678140.9273,0.000383273
coyote springs ii,287,Gas,2003,OR,Coyote Springs II,1890016000,13014728,690697.8809,0.000365446
craig ak,4.6,Oil,1997.086957,AK,Craig (AK),461000,5733,419.430085,0.000909827
craig co,1427.6,Coal,1981.185766,CO,Craig (CO),7924394000,81614674,7924302.521,0.000999988
craven county wood energy lp,50,Waste,1990,,,,,,
crawfordsville power plant,24.9,Coal,1961.313253,,,,,,
creed energy center,47,Gas,2003,CA,Creed Energy Center,11763000,137865,7316.561925,0.000621998
crestwood dothan,8.6,Oil,1998.976744,AL,Crestwood Dothan,979000,12346,903.2415541,0.000922617
crete,6,Gas,1973,NE,Crete,46000,607,33.13793062,0.00072039
crete energy venture llc,356,Gas,2002,IL,Crete Energy Venture LLC,67432000,933157,49523.09126,0.000734415
crisfield,11.6,Oil,1968,MD,Crisfield,657000,6872,502.760081,0.000765236
crisp plant,17.5,Coal,1957,GA,Crisp Plant,74000,2052,108.9006279,0.00147163
crist,1135.1,Coal,1969.876663,FL,Crist,2668010000,28372226,2604934.342,0.000976359
crockett cogen project,247.4,Gas,1996,CA,Crockett Cogen Project,1529666000,9498183,734954.576,0.000480467
croda atlas point chp,2.2,Waste,2013,,,,,,
cross,2390.1,Coal,1998.953726,SC,Cross,8375411000,85413572,7963964.551,0.000950874
crossroads energy center,306.4,Gas,2002,MS,Crossroads Energy Center,126117000,1720804,91323.89676,0.00072412
croswell,5.1,Oil,1989.294118,,,,,,
crotched mountain rehabilitation center,2.1,Oil,1990,NH,Crotched Mountain Rehabilitation Center,33000,140,24.14301902,0.000731607
croydon ct generating station,546.4,Oil,1974,PA,Croydon CT Generating Station,2650000,34306,2509.849729,0.000947113
crystal mountain,2.7,Oil,1970,WA,Crystal Mountain,186000,2084,152.4668232,0.000819714
crystal river,2442.7,Coal,1977.234863,FL,Crystal River,15044139000,117583949,8019144.602,0.000533041
culbertson generation station,91,Gas,2011,MT,Culbertson Generation Station,116337000,1325232,70330.70027,0.000604543
cumberland nj,231.2,Gas,2000.831315,NJ,Cumberland (NJ),95695000,1002182,53534.30894,0.000559426
cumberland tn,2600,Coal,1973,TN,Cumberland (TN),9409261000,87621295,8156435.49,0.000866852
cumberland wi,21.9,Gas,1984.452055,WI,Cumberland (WI),139000,1400,90.73244311,0.000652751
cumberland county pa lfg recovery,6.4,Waste,2009,,,,,,
cumberland county solid waste complex,4.8,Waste,2008,,,,,,
cunningham,519.2,Gas,1979.975732,NM,Cunningham,1707645000,19183125,1018057.679,0.000596176
currant creek,649,Gas,2005.469954,UT,Currant Creek,2917516000,21574477,1144967.881,0.000392446
curtis,3.4,Gas,1967.764706,NE,Curtis,38000,490,26.94877448,0.000709178
curtis h stanton energy center,688.3,Gas,2003,FL,Curtis H Stanton Energy Center,1592084000,11920692,632636.8636,0.000397364
cushing,24.6,Oil,1966.345528,OK,Cushing,21000,226,14.34448013,0.00068307
custer energy center,24.5,Gas,1999,WI,Custer Energy Center,1347000,23928,1288.63471,0.00095667
cutrale citrus juices usa i,4.1,Gas,2016,FL,Cutrale Citrus Juices USA I,24841000,402139,21341.71034,0.000859132
cutrale citrus juices usa ii,8.2,Gas,2015.5,FL,Cutrale Citrus Juices USA II,44964000,656843,34858.97425,0.000775264
cuyamaca peak energy plant,48.7,Gas,2002,CA,Cuyamaca Peak Energy Plant,7037000,81743,4338.140365,0.000616476
cymric 31x cogen,6.8,Gas,1988,CA,Cymric 31X Cogen,44826000,189253,34778.62554,0.000775858
cymric 36w cogen,12.4,Gas,1982,CA,Cymric 36W Cogen,72204000,325513,64534.66071,0.000893782
cymric 6z cogen,6.8,Gas,1986,CA,Cymric 6Z Cogen,43041000,181069,34908.43593,0.000811051
d b wilson,509.4,Coal,1984,KY,D B Wilson,2639484000,28717521,2676757.197,0.001014121
d g hunter,65.1,Gas,2016,LA,D G Hunter,59626140,543943,28867.31689,0.000484139
dads gas recovery,3.2,Waste,2008,,,,,,
danc lfgte facility,6.4,Waste,2009,,,,,,
dfw gas recovery,12.4,Waste,1998.83871,,,,,,
dg whitefield llc,19.9,Waste,1988,,,,,,
dgs central utility plant,3.9,Gas,2011,CA,DGS Central Utility Plant,0,0,21.72871712,inf
dsm pharmaceuticals,9.2,Oil,1995.282609,NC,DSM Pharmaceuticals,1172000,9732,1164.469914,0.000993575
dafter,8,Oil,1958.75,MI,Dafter,115000,4751,347.5863133,0.00302249
daguao,42,Gas,,,,,,,
dahlberg,919,Gas,2000.2,GA,Dahlberg,488534000,5966395,316707.3399,0.000648281
dakota magic,1.5,Oil,2000,,,,,,
dallman,617.8,Coal,1987.209938,IL,Dallman,1853889000,21772413,2024130.946,0.00109183
dan e karn,1946.3,Gas,1971.536813,MI,Dan E Karn,1819804000,20421224,1934953.646,0.001063276
dan river,697.9,Gas,2013,NC,Dan River,4394833000,31573076,1675598.344,0.000381266
danbury diesel,7.8,Oil,1979.987179,WI,Danbury Diesel,-315000,0,0,0
danbury hospital cogen plant,4.3,Gas,2011,CT,Danbury Hospital Cogen Plant,31011000,148217,21219.43595,0.000684255
dane county landfill 2 rodefeld,6.4,Waste,2005.25,,,,,,
dansby,203.2,Gas,1992.014764,TX,Dansby,150101000,2070290,109871.287,0.000731982
danskammer generating station,537.4,Gas,1961.022516,NY,Danskammer Generating Station,9205000,111274,5911.030184,0.000642154
danville kentuck road plant,1.8,Oil,2005,,,,,,
danville new design plant,1.8,Oil,2005,,,,,,
danville westover plant,1.8,Oil,2005,VA,Danville Westover Plant,82000,1150,84.13476326,0.001026034
darby power  llc,564,Gas,2001.333333,,,,,,
darbytown,368.4,Gas,1990,VA,Darbytown,62737000,778895,41913.30259,0.000668079
darlington county,912.2,Gas,1982.11401,SC,Darlington County,21080000,336295,18624.62671,0.000883521
darrington,4.5,Waste,2007,,,,,,
dart container corp,11.2,Waste,2013,,,,,,
dartmouth college heating plant,7,Oil,1979.428571,NH,Dartmouth College Heating Plant,12647830,78051,41596.84875,0.003288853
dartmouth power associates lp,101.7,Gas,1996.12881,MA,Dartmouth Power Associates LP,54628000,515342,27375.28402,0.000501122
dave gates generating station,203.1,Gas,2011,MT,Dave Gates Generating Station,226742000,2833570,150701.251,0.000664638
dave johnston,922.2,Coal,1966.587508,WY,Dave Johnston,4686379000,52329956,4940831.023,0.001054296
david city,10.6,Oil,1976.54717,NE,David City,22000,169,12.36415217,0.000562007
davidson gas producers llc,1.6,Waste,2010,,,,,,
dayton ia,1.8,Oil,2000,IA,Dayton (IA),5000,40,2.926426548,0.000585285
de pere energy center,192.3,Gas,1999,WI,De Pere Energy Center,118185000,1462567,78546.99991,0.000664611
debary,748,Oil,1984.855615,FL,DeBary,135423000,1874461,102052.1202,0.00075358
decordova steam electric station,357.6,Gas,1990,TX,DeCordova Steam Electric Station,22782000,334410,17874.22947,0.000784577
dekalb medical centerhillandale,1.6,Oil,2005,,,,,,
dean,357.6,Gas,2002,MI,Dean,269245000,3158586,167627.6797,0.000622584
dean drive area electric generators,3.2,Oil,2007,,,,,,
dearborn industrial generation,760,Gas,2000.552632,MI,Dearborn Industrial Generation,3939775913,28651298,2038139.732,0.000517324
decatur energy center,902.4,Gas,2002.233599,AL,Decatur Energy Center,2144807000,16690979,885798.2914,0.000412997
decaturmorgan co lfg recovery project,1.6,Waste,2010.5,,,,,,
decker creek,932,Gas,1977.799356,TX,Decker Creek,691812000,8280230,439435.7926,0.000635195
decorative panels intl,7.5,Gas,1957,MI,Decorative Panels Intl,41543732,162927,92261.70524,0.002220833
dededo ct 1,72.4,Oil,1992,,,,,,
deer creek station,324,Gas,2012,SD,Deer Creek Station,856663000,6552983,347769.9627,0.000405959
deer island treatment plant,72.8,Oil,1996.134615,MA,Deer Island Treatment Plant,9196628,37718,10719.50045,0.00116559
deer park energy center,1176,Gas,2005.22449,TX,Deer Park Energy Center,6809470000,44558901,3866344.209,0.000567789
deercroft i  ii lfgte,6.4,Waste,2003,,,,,,
deerhaven generating station,471,Coal,1982.105096,FL,Deerhaven Generating Station,786117000,10714653,808276.7534,0.001028189
deertrack park gas recovery,6.4,Waste,2007,,,,,,
dekalb medical center,3.9,Oil,1996.615385,,,,,,
delano,24.1,Oil,1992.850622,MN,Delano,9000,90,6.584459733,0.000731607
delano energy center,48.5,Gas,2013,CA,Delano Energy Center,6710000,77043,4088.709102,0.000609346
delaware city 10,18.5,Oil,1968,DE,Delaware City 10,158000,3306,241.8691542,0.001530817
delaware city plant,324,Gas,1982.947531,DE,Delaware City Plant,1128048618,5994281,884948.9514,0.000784495
delaware generating station,77,Oil,1969.275325,PA,Delaware Generating Station,232000,7202,526.9031,0.002271134
dell power station,679.1,Gas,2007,AR,Dell Power Station,3229128000,23598523,1252385.68,0.00038784
delray,142.2,Gas,2000,MI,Delray,10722000,150275,7975.1666,0.000743813
delta energy center,943.5,Gas,2002,CA,Delta Energy Center,3533557000,26174263,1389080.739,0.000393111
delta power,23.1,Oil,1976,AK,Delta Power,-133000,944,69.06366654,-0.000519276
demoss petrie,85,Gas,2001,AZ,Demoss Petrie,16300000,230380,12226.37752,0.000750085
denton power llc,1.6,Waste,2009,,,,,,
des plaines gas recovery,3.6,Waste,2004,,,,,,
desert basin,646.1,Gas,2001,AZ,Desert Basin,2220079000,16461608,873625.462,0.000393511
desert star energy center,536,Gas,2000,NV,Desert Star Energy Center,1314502000,10089970,535479.5657,0.000407363
desert view power,55.5,Waste,1991,CA,Desert View Power,3934299,63372,3363.18255,0.000854837
deshler,2.3,Oil,1981.652174,,,,,,
detour,6,Oil,1974.5,MI,Detour,371000,7267,531.6585431,0.001433042
detroit lakes,12.5,Oil,1968,MN,Detroit Lakes,36000,685,50.11505464,0.001392085
devon station,222.6,Oil,1995.080863,CT,Devon Station,-532000,15865,941.8639445,-0.001770421
dickerson,933,Coal,1971.533762,MD,Dickerson,205006000,2819610,209523.6486,0.001022037
